,fb_vad_comp_r,fb_vader_pos_r,fb_vad_comp75_r,fb_vader_neg75_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
702,502.0,348.0,552.0,363.0,111.0,437.0,202.5
704,530.0,471.0,535.0,111.5,330.5,510.5,274.0
705,276.0,267.0,279.0,411.0,682.5,187.0,698.0
711,254.0,150.0,157.5,111.5,532.5,510.5,385.5
713,487.0,430.0,513.0,335.0,136.5,44.0,509.0
715,112.0,151.0,61.0,111.5,384.5,147.5,574.5
718,512.0,460.0,516.0,321.0,652.0,351.5,600.0
719,226.0,321.0,351.0,407.5,136.5,223.5,331.0
720,316.0,254.0,331.0,111.5,173.0,13.0,600.0
721,137.0,138.0,107.5,331.0,444.0,262.0,509.0
722,368.5,332.5,436.0,378.5,136.5,114.5,418.0
723,333.0,361.0,379.0,358.5,384.5,569.5,251.0
724,35.0,143.0,170.5,552.0,212.5,351.5,301.0
728,454.0,515.0,442.5,382.0,618.5,766.5,71.0
729,10.5,26.5,22.5,233.5,288.0,747.5,46.0
731,389.0,336.0,320.0,111.5,384.5,262.0,476.0
733,337.5,188.5,239.5,225.5,79.5,475.5,149.5
736,347.0,380.0,264.5,259.0,173.0,147.5,418.0
737,325.0,328.0,272.0,111.5,94.5,706.0,40.0
738,85.0,193.0,226.0,544.0,136.5,621.5,111.0
739,511.0,541.0,506.5,358.5,384.5,147.5,574.5
740,5.0,7.0,22.5,111.5,330.5,541.5,251.0
741,132.0,70.0,220.0,423.5,532.5,730.0,168.0
743,489.0,548.0,337.0,111.5,682.5,114.5,727.0
744,366.0,308.0,375.0,365.0,577.5,223.5,619.0
746,6.0,20.0,22.5,111.5,288.0,718.5,87.5
748,183.0,117.0,157.5,284.0,652.0,26.0,749.5
749,408.5,409.5,430.5,111.5,444.0,541.5,301.0
750,280.0,338.0,193.0,111.5,652.0,396.5,574.5
752,339.0,319.0,288.0,111.5,384.5,351.5,418.0
755,324.0,284.0,359.0,111.5,490.0,475.5,385.5
756,503.0,546.0,292.0,287.0,136.5,26.0,542.5
759,518.0,539.0,474.0,111.5,384.5,67.0,639.0
760,165.5,83.5,382.5,512.5,288.0,67.0,600.0
761,100.0,137.0,97.5,444.0,288.0,437.0,301.0
762,310.0,402.0,254.0,111.5,7.0,187.0,71.0
763,491.0,522.0,454.5,283.0,173.0,187.0,385.5
764,278.0,365.0,339.5,111.5,532.5,351.5,509.0
767,479.0,478.0,469.0,355.0,490.0,67.0,678.5
768,32.0,120.0,85.5,549.5,747.5,306.0,714.5
769,190.0,174.0,214.0,388.0,384.5,677.0,186.0
770,69.0,169.0,80.0,111.5,212.5,437.0,251.0
771,321.0,238.0,343.0,381.0,709.5,147.5,727.0
772,548.5,485.5,555.5,327.5,755.5,26.0,769.0
773,29.0,6.0,22.5,111.5,173.0,621.5,133.5
774,250.0,243.0,280.0,439.5,384.5,5.0,714.5
776,228.0,177.0,172.0,310.0,288.0,223.5,447.0
778,115.0,144.0,157.5,338.0,66.5,743.0,13.0
780,193.0,100.0,64.0,111.5,384.5,650.5,202.5
781,304.0,324.0,370.0,267.0,682.5,595.5,418.0
782,371.5,305.5,335.5,371.5,330.5,26.0,659.5
783,465.0,451.0,471.0,111.5,762.0,306.0,735.5
784,327.0,467.0,288.0,525.0,618.5,763.0,87.5
786,458.0,537.0,343.0,111.5,444.0,510.5,331.0
787,332.0,309.0,391.5,438.0,40.0,677.0,26.0
788,240.0,158.0,313.0,444.0,532.5,147.5,639.0
789,356.0,266.0,423.0,111.5,136.5,187.0,357.5
790,22.0,46.0,209.0,542.0,111.0,569.5,133.5
791,133.0,458.0,140.0,437.0,79.5,396.5,186.0
793,192.0,360.0,193.0,337.0,94.5,396.5,202.5
794,344.0,318.0,450.0,489.5,40.0,437.0,87.5
795,241.0,213.0,235.5,111.5,577.5,351.5,542.5
796,460.0,519.0,426.0,509.0,444.0,187.0,574.5
798,384.0,371.0,355.0,281.5,384.5,187.0,542.5
804,459.0,450.0,442.5,383.5,490.0,223.5,574.5
806,430.0,262.0,458.0,111.5,384.5,351.5,418.0
808,257.0,404.0,286.0,393.0,212.5,718.5,61.5
811,504.0,516.0,417.0,111.5,384.5,114.5,600.0
812,343.0,349.0,375.0,467.5,330.5,396.5,357.5
814,486.0,542.0,384.0,111.5,111.0,650.5,71.0
