,tw_vad_comp_r,tw_vader_neg75_r,tw_vader_pos_r,tw_vader_neg_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
542,266.0,369.5,387.0,369.0,577.5,187.0,639.0
546,445.0,72.5,377.0,29.0,212.5,475.5,232.0
547,169.0,72.5,233.0,225.0,490.0,223.5,574.5
550,384.0,168.5,122.0,46.0,490.0,90.0,659.5
556,145.0,321.5,214.0,367.0,728.5,569.5,509.0
560,135.0,72.5,74.0,196.0,288.0,223.5,447.0
563,210.0,293.0,130.0,211.0,248.5,621.5,168.0
565,204.5,256.0,165.5,232.5,490.0,67.0,678.5
568,342.0,154.5,277.0,160.0,652.0,510.5,476.0
572,313.0,265.5,361.0,252.0,652.0,650.5,331.0
575,285.0,327.5,260.0,237.0,444.0,147.5,600.0
577,457.0,172.0,477.0,397.0,55.0,306.0,186.0
591,453.0,327.5,455.0,270.0,490.0,621.5,251.0
592,327.0,346.5,332.0,281.0,728.5,13.0,766.5
599,452.0,72.5,457.0,31.0,444.0,187.0,574.5
601,228.0,316.5,171.0,279.0,248.5,650.5,149.5
606,323.0,72.5,297.0,179.0,682.5,621.5,385.5
611,154.0,305.5,84.0,250.0,532.5,510.5,385.5
616,209.0,337.0,184.0,328.0,248.5,396.5,301.0
618,380.0,180.5,327.0,113.0,173.0,437.0,232.0
621,94.0,72.5,68.0,275.0,173.0,650.5,111.0
622,53.0,348.0,82.0,378.0,330.5,737.5,71.0
624,235.0,226.0,253.0,304.0,173.0,677.0,87.5
626,299.0,72.5,194.0,53.0,288.0,730.0,71.0
631,343.0,219.5,311.0,157.0,618.5,306.0,600.0
632,441.0,72.5,430.0,96.0,444.0,475.5,357.5
634,30.0,442.0,113.0,449.0,444.0,769.5,29.5
637,357.0,72.5,356.0,148.0,709.5,114.5,735.5
647,63.0,282.0,47.0,325.0,747.5,26.0,768.0
648,422.0,72.5,384.0,39.0,532.5,475.5,418.0
649,138.0,362.5,138.0,297.0,490.0,351.5,476.0
654,238.0,212.0,196.0,178.0,288.0,306.0,385.5
661,208.0,72.5,231.0,180.0,212.5,694.0,87.5
664,229.0,274.0,314.0,292.0,577.5,223.5,619.0
675,186.0,280.0,80.0,118.0,709.5,26.0,759.0
682,23.0,444.0,42.0,457.0,173.0,650.5,111.0
684,59.0,156.0,52.0,372.0,618.5,5.0,755.5
686,183.0,341.5,198.0,269.0,288.0,306.0,385.5
690,293.0,72.5,262.0,150.0,747.5,262.0,727.0
692,418.0,72.5,398.0,64.0,288.0,437.0,301.0
694,177.0,413.0,306.0,408.0,94.5,223.5,274.0
696,211.0,194.5,315.0,315.0,384.5,677.0,186.0
698,191.0,407.0,202.0,343.0,111.0,114.5,385.5
701,432.0,72.5,335.0,38.0,444.0,44.0,678.5
703,308.5,198.5,414.5,317.5,767.5,475.5,698.0
704,424.0,72.5,282.0,47.0,330.5,510.5,274.0
707,437.0,344.0,459.0,273.0,577.5,769.5,46.0
711,287.0,72.5,81.0,51.0,532.5,510.5,385.5
712,131.0,256.0,111.0,283.0,577.5,306.0,574.5
714,13.0,72.5,3.0,4.5,532.5,569.5,331.0
719,198.0,260.5,147.0,227.0,136.5,223.5,331.0
722,180.5,276.0,72.5,189.5,136.5,114.5,418.0
723,144.0,148.0,128.0,170.0,384.5,569.5,251.0
725,328.0,258.5,373.0,218.0,384.5,396.5,385.5
731,260.0,72.5,215.0,78.0,384.5,262.0,476.0
739,367.0,236.0,416.0,291.0,384.5,147.5,574.5
747,158.0,378.0,183.0,353.0,19.5,677.0,13.0
749,221.5,385.0,307.5,391.5,444.0,541.5,301.0
750,90.0,472.0,394.0,472.0,652.0,396.5,574.5
753,303.0,293.0,268.0,337.0,94.5,621.5,71.0
754,364.0,244.5,353.0,188.0,652.0,475.5,509.0
757,460.5,72.5,445.5,44.5,94.5,90.0,385.5
759,402.0,244.5,417.0,224.0,384.5,67.0,639.0
761,278.0,191.5,221.0,192.0,288.0,437.0,301.0
767,321.0,208.5,256.0,162.0,490.0,67.0,678.5
768,78.0,312.0,137.0,406.0,747.5,306.0,714.5
776,33.0,297.0,43.0,248.0,288.0,223.5,447.0
779,296.0,197.0,309.0,172.0,330.5,475.5,301.0
782,204.5,256.0,165.5,232.5,330.5,26.0,659.5
784,213.0,72.5,186.0,182.0,618.5,763.0,87.5
787,93.0,465.0,273.0,469.0,40.0,677.0,26.0
789,126.0,226.0,54.0,194.0,136.5,187.0,357.5
792,29.0,194.5,18.0,278.0,55.0,621.5,46.0
793,114.0,378.0,225.0,394.0,94.5,396.5,202.5
796,358.0,417.0,447.0,387.0,444.0,187.0,574.5
805,35.0,396.0,44.0,388.0,652.0,437.0,542.5
